w(cm-1), IM(w)_xx, IM(w)_yy, IM(w)_zz, IM(w)_xy, IM(w)_xz, IM(w)_yz
50.9486307303, 4.452772193e-06, 8.41218160655e-05, 0.000109627364851, 0.0, 0.0, 0.0
51.1770999264, 4.48056165173e-06, 8.48312162652e-05, 0.000110673417828, 0.0, 0.0, 0.0
51.4055691225, 4.50849487541e-06, 8.55475082732e-05, 0.000111731446218, 0.0, 0.0, 0.0
51.6340383186, 4.53657366435e-06, 8.6270802234e-05, 0.00011280165494, 0.0, 0.0, 0.0
51.8625075147, 4.56479984632e-06, 8.70012104627e-05, 0.000113884253209, 0.0, 0.0, 0.0
52.0909767108, 4.59317527712e-06, 8.77388474984e-05, 0.000114979454647, 0.0, 0.0, 0.0
52.3194459069, 4.62170184108e-06, 8.84838301578e-05, 0.00011608747739, 0.0, 0.0, 0.0
52.547915103, 4.65038145167e-06, 8.92362775914e-05, 0.000117208544213, 0.0, 0.0, 0.0
52.7763842991, 4.67921605203e-06, 8.99963113407e-05, 0.000118342882641, 0.0, 0.0, 0.0
53.0048534952, 4.7082076156e-06, 9.0764055397e-05, 0.00011949072508, 0.0, 0.0, 0.0
53.2333226913, 4.73735814667e-06, 9.15396362624e-05, 0.00012065230894, 0.0, 0.0, 0.0
53.4617918874, 4.76666968104e-06, 9.23231830118e-05, 0.000121827876765, 0.0, 0.0, 0.0
53.6902610835, 4.79614428664e-06, 9.31148273578e-05, 0.000123017676371, 0.0, 0.0, 0.0
53.9187302796, 4.82578406414e-06, 9.3914703716e-05, 0.000124221960987, 0.0, 0.0, 0.0
54.1471994757, 4.85559114767e-06, 9.47229492741e-05, 0.000125440989391, 0.0, 0.0, 0.0
54.3756686718, 4.88556770542e-06, 9.55397040609e-05, 0.000126675026067, 0.0, 0.0, 0.0
54.6041378679, 4.91571594039e-06, 9.63651110195e-05, 0.00012792434135, 0.0, 0.0, 0.0
54.832607064, 4.94603809109e-06, 9.71993160809e-05, 0.00012918921159, 0.0, 0.0, 0.0
55.0610762601, 4.9765364322e-06, 9.80424682407e-05, 0.000130469919307, 0.0, 0.0, 0.0
55.2895454562, 5.00721327541e-06, 9.8894719638e-05, 0.000131766753366, 0.0, 0.0, 0.0
55.5180146523, 5.0380709701e-06, 9.97562256368e-05, 0.000133080009146, 0.0, 0.0, 0.0
55.7464838484, 5.06911190415e-06, 0.000100627144909, 0.000134409988716, 0.0, 0.0, 0.0
55.9749530445, 5.10033850473e-06, 0.000101507639522, 0.000135757001023, 0.0, 0.0, 0.0
56.2034222406, 5.13175323911e-06, 0.000102397875025, 0.000137121362082, 0.0, 0.0, 0.0
56.4318914367, 5.16335861549e-06, 0.000103298020544, 0.000138503395167, 0.0, 0.0, 0.0
56.6603606328, 5.19515718387e-06, 0.000104208248873, 0.000139903431021, 0.0, 0.0, 0.0
56.8888298289, 5.22715153693e-06, 0.000105128736572, 0.000141321808056, 0.0, 0.0, 0.0
57.117299025, 5.25934431088e-06, 0.000106059664071, 0.000142758872577, 0.0, 0.0, 0.0
57.3457682211, 5.29173818644e-06, 0.000107001215767, 0.000144214979002, 0.0, 0.0, 0.0
